id;name;symbol;functional_description;service_comissions;exclusions;duties_and_responsibilities;person_responsible_for_service;hours_of_service;service_activating_cost;price_list_of_service;notes;status;critical_service;guaranteed_levels_of_provision_of_service;period_of_provision_of_service;window_of_service;level_of_accessibility;plan_disaster_recovery;r_po;r_to
1;US morph;Tytan;Polska port the;sensor eventually;Pickup Hybrid Buckinghamshire;Pickup;Savings amper;Cheese connect brązowy;Antymon pillage;Dinar rondo;obnoxiously;NON_BINDING;true;Coupe Unbranded;Innovative;matrix hot Internal;internet ragged opolskie;bluetooth payment Astat;Officer;Oriental
2;Loan;ROI Zelów;Ślesin lubuskie;Honda Electric;forecast;Avon południe;intangible Seaborg;intranet północ;Money;paradigm compress Bicycle;Nepal Manager;NON_BINDING;false;Gasoline;SUV Specialist COM;Central infrastructure;Fitness listen;Customer Kirgistan hard;woot;Engineer Computer
3;Music;północ;application oh;Astat Accounts Nissan;Country SAS;syndicate Żurek Marino;Account deposit Kids;Human;agender;Licensed;Checking override;BINDING;true;Regional gender blind;whenever;Pound;disintermediate innovate Intelligent;Książęca haptic małopolskie;Rustic compress;Luxurious
4;północ user;Account zachód;Malagasy Strategist;siwert synthesize bear;tesla extend;solutions;except;seize wschód;state;północny;Technician Nasielsk asynchronous;NON_BINDING;false;Gorgeous Shirt;Rap Consultant puffin;Osoba;Accountability Account;zero północny;Data zachód;Bike Szczekociny Consultant
5;Lari;protocol;frequent Sports indexing;biały;architectures Czajka;similique;Handcrafted 1080p;Steel Diesel;microwave likewise kobieta;streamline beżowy 24/7;microchip;NON_BINDING;true;distinction;wschód północ;integrated Soap Road;Dania Towels ah;pixel Inverse blag;Salomona;relationships
6;pomarańczowy;protocol Account;agonize zachód;homogeneous Applications;czarny zachód transmitting;Genderqueer;Analyst;system;whiteboard Mouse;applications;Ozimek invoice bluetooth;BINDING;true;Applications;fight wschód clamber;Small;XML północ;drive wschód;Regional flashy;key
7;Regional Tactics;how fedelini;Samar Shoes Table;Integration;Audi;protocol ha;drive B2B Mendelew;hard yum;Pataca;północ invoice;virtual;BINDING;false;Unbranded;Peso Tuna drool;although;Reactive;productize;Meżczyzna Chief;północ Fresh
8;Cambridgeshire less;Account;Convertible structure Recumbent;Tactics Steel;drab;courageously;mężczyzna;Usability overriding hack;zachód;Szadek bitterly;Tuvalu program Kobalt;BINDING;false;molestiae Outdoors;necklace payment;insulate;bypassing embrace brand;Intelligent Analyst customized;Analyst Soap deposit;Górniak amongst
9;SUV;why auxiliary Som;Integration;ducimus Reggae;Chips metr;Estonia enable bypass;array Elegant dentist;huzzah web SCSI;Sępopol drat;czerwony;Hybrid qui Wielki;NON_BINDING;false;Transkobieta Hybrid;Profound Tactics;XML;AGP;Forward;wschód Cheese houseboat;Mouse quantifying copy
10;czerwony Gorgeous;primary Passenger;Shoes;Tricycle Orchestrator repurpose;solutions Gryfice Uruguayo;1080p supposing;Orchestrator;szary;Elegant;trans Diesel emulation;sekunda EXE Specialist;NON_BINDING;true;Beauty zachód valid;bigender bountiful szary;Hat interpłciowa;Jewelery Has;Senior Unbranded;Facilitator kobieta;Handcrafted
